Slice #,Xc,Yc
1,213.08055822196,154.381107090994
2,211.738261147326,153.072982597277
3,212.52616170048,153.360795557652
4,213.116560012873,154.285749650332
5,212.550692043592,154.32273037216
6,212.814470111134,155.545320780448
7,212.653189610327,156.460276557907
8,212.098501070664,155.210764381782
9,212.35825871131,154.351396729609
10,213.161301249713,153.911249833654
11,212.798820514621,152.194568282608
12,212.730731042073,152.601892502961
13,212.877773992603,153.627481993381
14,212.713983228261,153.338796310696
15,212.722357135167,154.255739116912
16,212.698924469535,154.589862760366
17,213.730955721283,154.32080533609
18,212.992093559545,152.371932136386
19,213.197715917202,152.470259338568
20,213.163081565116,152.737492700019
21,213.372591006424,151.795741137283
22,212.868900506023,152.689818525475
23,NaN,NaN
24,NaN,NaN
25,NaN,NaN
26,NaN,NaN
27,NaN,NaN
28,NaN,NaN
29,NaN,NaN
30,NaN,NaN
31,NaN,NaN
32,NaN,NaN
33,212.847965738758,153.957677289331
34,212.499853734452,152.919460338634
35,212.877773992603,153.674323535137
36,213.456354704623,155.928328504849
37,212.869257348647,156.770123613004
38,212.367095344778,158.288670767784
39,212.764202040559,159.036402569593
40,211.766770807737,156.007418588596
41,211.916310764608,155.077075963893
42,NaN,NaN
43,NaN,NaN
44,NaN,NaN
45,NaN,NaN
46,NaN,NaN
47,NaN,NaN
48,NaN,NaN
49,NaN,NaN
50,211.925547685719,152.927853730852
51,212.085869643673,154.663402545533
52,212.977183784981,154.984124640035
53,212.250032178421,152.604111817086
54,212.382638774502,151.428924394663
55,NaN,NaN
56,NaN,NaN
57,NaN,NaN
58,NaN,NaN
59,NaN,NaN
60,NaN,NaN
61,NaN,NaN
62,NaN,NaN
63,212.711323009216,152.667195097424
64,214.077087794433,152.702355460385
65,214.622560240223,152.296389278594
66,214.287948415658,150.966604913024
67,214.819568814483,151.08526377263
68,214.743163750031,151.878584262473
69,214.225473424808,151.731006184728
70,214.46545445747,154.897833266795
71,214.364025695931,155.507494646681
72,213.926362122294,153.719367118725
73,213.609784220063,153.071981551639
74,213.489174399239,152.503568879372
75,213.310749932718,150.78164308866
76,213.482128150222,150.465326964256
77,214.012388245684,151.197086826601
78,213.949134496908,151.165767468568
79,214.10405177467,152.505592573541
80,214.227662059568,153.214424761534
81,214.218533722952,152.737586806582
82,212.989531287176,152.878301213419
83,213.821846380914,153.343858503006
84,213.58068259304,152.275310133624
85,213.370943831329,151.935430736287
86,214.065845824411,152.303143858283
87,214.631174776637,152.860641413768
88,213.751487033072,152.890792291221
89,214.040295892544,153.891497956005
90,214.372591006424,153.918629550321
91,213.425422122372,152.251904377435
92,213.96588231072,152.367423109591
93,214.420541892042,152.752162988452
94,213.576953230128,150.806215700729
95,213.953529641416,151.387722266258
96,214.822269807281,152.6852248394
97,213.854269422323,153.248682722614
98,213.769095498427,154.854473460696
99,213.963646096944,157.025622931672
100,213.520780611252,157.485521705275
101,212.572738600757,157.942268839449
102,213.038507603528,157.362174717817
103,212.1025304506,154.776542101264
104,212.606335053416,153.7303565369
105,212.918357447916,153.126811551339
106,211.612146339241,151.431728096952
107,213.259759512436,152.083676494811
108,213.878479657388,152.924858867043
109,213.648241570791,153.441246567222
110,213.397289273895,155.079569787814
111,213.666346698171,157.400502104408
112,212.944806679017,157.602314558622
113,212.230275078241,156.699884697743
114,212.752200808946,155.405662621937
115,212.194177411272,153.464850334867
116,212.155837165491,152.387053743813
117,212.477351342448,151.737769724922
118,212.475326881437,152.204131924922
119,212.607805789866,151.280064358134
120,213.405805917851,152.226494062682
121,213.804179280809,153.054468483103
122,213.635974304069,153.516059957173
123,213.401547595873,155.20306112517
124,213.672795569007,156.688359073128
125,213.302559062028,155.520061782567
126,212.786868075598,154.312331254073
127,213.402818034474,153.731352112343
128,213.91145191583,153.04152261553
129,213.078881879738,152.270964754905
130,213.840273707129,152.652135944397
131,214.228335692423,153.868907197038
132,213.509504384338,153.711435168016
133,213.736376103746,154.688665399514
134,213.701522721865,154.860218891268
135,213.112722279117,153.23701238246
136,213.329465385858,152.606079456414
137,213.800675062607,153.064397101344
138,213.056832941342,151.076514433484
139,214.06218224014,152.149701530032
140,213.807280513919,152.925053533191
141,213.912122753676,153.143374306435
142,213.635538779806,154.495578218948
143,214.146456849758,155.923509785369
144,212.477397097311,154.456340709017
145,213.128491620112,154.017082770088
146,213.38877262994,154.05757251314
147,212.86471355257,152.530714294259
148,212.980467779526,152.41461308221
149,213.656377066141,152.335009503645
150,213.099159940702,150.94712567946
151,213.768141803474,151.833214370688
152,213.924782790618,152.261931132935
153,213.818863149698,152.298885536305
154,213.794217219145,153.690500400751
155,213.568121732681,155.055447226442
156,213.478010212486,154.06852248394
157,212.658540602866,153.673200461209
158,213.295969758233,153.502087495364
159,213.480195710167,152.978718313734
160,213.247405699226,152.091912370285
161,213.669412889099,151.662855829371
162,214.135181891869,151.654387302048
163,214.003217906704,151.122718184722
164,214.543897216274,151.498929336188
165,214.770877944325,152.997858672377
166,213.813942422079,153.44456340709
167,213.899771267277,154.798520537279
168,214.713012872579,156.418444953112
169,213.332426325316,156.824446626522
170,213.440762651375,158.073531012957
171,213.04585809494,158.035993551957
172,212.265501349967,156.157480681501
173,212.955032119914,154.443254817987
174,213.029016192286,153.522363640738
175,212.526184712783,151.505911926264
176,213.462695185622,153.025527512451
177,214.10568805533,154.385414359202
178,213.382114590604,155.445597264779
179,213.435614171696,157.634562974499
180,213.178735061548,159.108418168985
181,211.843188930983,158.412946796244
182,211.767731747874,156.202672472575
183,212.780217520173,154.944410167072
184,212.23218936281,153.267550205452
185,212.742635569188,153.18652699809
186,212.96390502443,152.133046245578
187,212.85602449863,150.996983721305
188,213.415240100796,152.008825582358
189,213.32915612225,153.874464668094
190,213.295089546428,154.819812147168
191,212.355340086134,156.174963308712
192,212.813899162936,156.165441892155
193,212.215735767349,154.896342995227
194,211.873252126701,153.599302605867
195,212.70640019034,152.732571972401
196,212.739104948979,152.371610063044
197,212.411464338659,150.868884862461
198,213.417391408372,151.89848432285
199,213.861446369476,153.201649795601
200,213.403887333224,153.636139021578
201,213.382696148016,155.400235786637
202,213.133673264164,156.058419203331
203,212.910076070368,154.248938209093
204,213.077310118066,153.640256959315
205,212.732663482128,153.35200131774
206,212.456761653764,152.026025366496
207,212.819297691345,152.481248756743
208,213.201879609803,152.270402093743
209,213.463447896355,151.061093632242
210,213.902157799374,152.038379179707
211,214.057329180456,152.418118551684
212,213.87532180064,152.937107523519
213,213.522483940043,154.452177016417
214,213.823525893316,155.679303290945
215,213.201879609803,155.418153699738
216,212.268269310398,154.770664994617
217,212.827147275755,154.089935760171
218,213.230933948279,152.882556415747
219,212.53261721721,152.526298545535
220,213.023817783786,152.329740528513
221,213.410064239829,152.441113490364
222,212.741484419794,151.993891950714
223,213.437432331641,152.006592401896
224,213.861446369476,151.766595289079
225,213.593266714252,151.071258624792
226,214.056372254168,151.530808651926
227,214.778789968425,152.818809808974
228,213.86269037365,153.454996030123
229,213.821846380914,155.198465986765
230,213.984937706833,156.352808059179
231,212.839729863284,155.690989952232
232,212.997858672377,155.334879847728
233,213.398420014759,154.762336829625
234,212.465087049623,153.065938925612
235,213.016801185966,152.598418711909
236,213.170361154642,152.748435873817
237,212.497941031132,151.568934277714
238,213.449231178698,151.785649475556
239,213.34903640257,151.738758029979
